waktu,jam
2025-05-03 21:21:02.476861,21
2025-05-03 21:21:05.421108,21
2025-05-03 21:21:09.972969,21
2025-05-03 21:21:14.391405,21
2025-05-03 22:50:57.664729,22
2025-05-03 22:51:01.519545,22
2025-05-03 22:51:06.502812,22
2025-05-03 22:51:08.993536,22
2025-05-03 22:51:14.165849,22
2025-05-03 22:51:18.001977,22
2025-05-03 22:51:21.326342,22
2025-05-03 22:51:28.139514,22
2025-05-03 22:51:30.410619,22
2025-05-03 22:51:32.441166,22
2025-05-03 22:54:19.392999,22
2025-05-03 22:54:26.441405,22
2025-05-03 22:54:29.360032,22
2025-05-03 22:54:31.948798,22
2025-05-03 22:54:35.532567,22
2025-05-03 22:54:37.738635,22
2025-05-03 22:54:44.268111,22
2025-05-03 22:54:51.293921,22
2025-05-03 22:55:01.599790,22
2025-05-03 22:55:03.761540,22
2025-05-03 22:55:06.757602,22
2025-05-03 22:55:09.118180,22
2025-05-03 22:55:11.692407,22
2025-05-03 22:55:14.784573,22
2025-05-03 22:55:18.184833,22
2025-05-03 22:55:46.662768,22
2025-05-03 23:12:34.016662,23
2025-05-03 23:12:37.435539,23
2025-05-03 23:12:42.877802,23
2025-05-03 23:12:47.313120,23
2025-05-03 23:13:16.504438,23
2025-05-03 23:13:26.520429,23
2025-05-03 23:13:45.243620,23
2025-05-03 23:13:58.077583,23
2025-05-03 23:14:02.447673,23
2025-05-03 23:14:06.696516,23
2025-05-03 23:14:10.515612,23
2025-05-03 23:14:25.474555,23
2025-05-03 23:14:29.774072,23
2025-05-03 23:14:48.029381,23
2025-05-03 23:15:38.445073,23
2025-05-03 23:15:49.022859,23
2025-05-03 23:15:51.852496,23
2025-05-03 23:15:53.957754,23
2025-05-03 23:15:56.718630,23
2025-05-03 23:15:59.570186,23
2025-05-03 23:16:59.751393,23
2025-05-03 23:17:02.291591,23
2025-05-03 23:20:29.484518,23
2025-05-03 23:20:43.148510,23
2025-05-03 23:20:45.688487,23
2025-05-03 23:20:49.639011,23
2025-05-03 23:20:51.740840,23
2025-05-04 06:11:27.339767,06
2025-05-04 06:11:37.583466,06
2025-05-04 08:47:03.753703,08
2025-05-04 08:47:10.951387,08
2025-05-04 08:47:21.516852,08
2025-05-04 10:06:07.807370,10
2025-05-04 10:06:10.585279,10
2025-05-04 10:06:15.997122,10
2025-05-04 10:06:21.921431,10
2025-05-04 10:06:31.047317,10
2025-05-04 10:06:38.727402,10
2025-05-04 10:06:46.935873,10
2025-05-04 10:06:54.235318,10
2025-05-04 11:02:40.646875,11
2025-05-04 11:03:08.401702,11
2025-05-04 11:03:50.005046,11
2025-05-04 11:03:52.897246,11
2025-05-04 11:03:57.138872,11
2025-05-04 11:04:02.746120,11
2025-05-04 14:27:28.487389,14
2025-05-04 14:27:32.529150,14
2025-05-04 14:27:35.341884,14
2025-05-04 14:27:47.257683,14
2025-05-04 14:27:52.375530,14
2025-05-04 14:28:12.333047,14
2025-05-04 14:29:19.238629,14
2025-05-04 14:29:44.473699,14
2025-05-04 14:29:47.555903,14
2025-05-04 14:29:50.059648,14
2025-05-04 14:29:52.886633,14
2025-05-04 14:29:55.598662,14
2025-05-04 14:32:25.956598,14
2025-05-04 14:32:28.359953,14
2025-05-04 14:32:35.245508,14
2025-05-04 14:33:10.019410,14
2025-05-04 14:33:26.570067,14
2025-05-04 14:33:40.846636,14
2025-05-04 14:34:27.151296,14
2025-05-04 14:34:29.297924,14
2025-05-04 14:34:31.323836,14
2025-05-04 14:38:15.331946,14
2025-05-04 14:38:18.207926,14
2025-05-04 14:39:58.352934,14
2025-05-04 14:40:00.735390,14
2025-05-04 14:40:05.004347,14
2025-05-04 14:40:07.371650,14
2025-05-04 14:40:10.092112,14
2025-05-04 14:40:12.278562,14
2025-05-04 14:40:14.585278,14
2025-05-04 14:40:16.662238,14
2025-05-04 14:40:19.004864,14
2025-05-04 14:40:42.793366,14
2025-05-04 14:40:51.481423,14
2025-05-04 14:40:53.906414,14
2025-05-04 14:40:55.521056,14
2025-05-04 14:40:57.826523,14
2025-05-04 14:40:59.874357,14
2025-05-04 14:41:02.400106,14
2025-05-04 14:41:07.415721,14
2025-05-04 14:41:17.640858,14
2025-05-04 14:41:21.749965,14
2025-05-04 14:41:24.358536,14
2025-05-04 14:41:26.741981,14
2025-05-04 14:41:31.196626,14
2025-05-04 14:41:33.837395,14
2025-05-04 14:41:36.612343,14
2025-05-04 14:41:43.588308,14
2025-05-04 14:41:45.925121,14
2025-05-04 14:41:48.493177,14
2025-05-04 14:41:50.124326,14
2025-05-04 14:41:52.881207,14
2025-05-04 14:41:55.277078,14
2025-05-04 14:42:04.708779,14
2025-05-04 14:42:15.563534,14
2025-05-04 14:42:22.095545,14
2025-05-04 14:42:24.173168,14
2025-05-04 14:42:30.109724,14
2025-05-04 14:42:33.181530,14
2025-05-04 14:42:35.451560,14
2025-05-04 14:42:37.533432,14
2025-05-04 14:42:39.309211,14
2025-05-04 14:42:44.987823,14
2025-05-04 14:42:50.140988,14
2025-05-04 14:42:52.368638,14
2025-05-04 14:42:55.432326,14
2025-05-04 14:42:58.206394,14
2025-05-04 14:42:59.986522,14
2025-05-04 14:43:02.355013,14
2025-05-04 14:43:10.844663,14
2025-05-04 14:43:12.897344,14
2025-05-04 14:43:14.542702,14
2025-05-04 14:43:16.177709,14
2025-05-04 14:43:31.208425,14
2025-05-04 14:43:35.564864,14
2025-05-04 14:43:37.791598,14
2025-05-04 14:43:39.570550,14
2025-05-04 14:43:41.336762,14
2025-05-04 14:43:48.143949,14
2025-05-04 14:43:53.766487,14
2025-05-04 14:44:09.232057,14
2025-05-04 14:44:11.325391,14
2025-05-04 14:44:13.544954,14
2025-05-04 14:44:15.732558,14
2025-05-04 14:44:17.351715,14
2025-05-04 14:44:19.594364,14
2025-05-04 14:44:21.876359,14
2025-05-04 14:44:30.950445,14
2025-05-04 14:44:33.229615,14
2025-05-04 14:44:35.558479,14
2025-05-04 14:44:37.776734,14
